Class	namco	Type	Descriptor	BaseId	Spawned	Beta	Code	ClientOnly	NoMap	SizeX	SizeY	Height	OverlayHeight	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MeleeRng	MinGrp	MaxGrp	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SpawnComponents	BaseW	AIParam1	Comment	AIParam2	Comment	AIParam3	Comment	AIParam4	Comment	AIParam5	Comment	ModeDH	ModeN	ModeW	ModeGH	ModeA1	ModeA2	ModeB	ModeC	ModeS1	ModeS2	ModeS3	ModeS4	ModeDD	ModeKB	ModeSQ	ModeRN	ElMode	ElType	ElOver	ElPct	ElMinD	ElMaxD	ElDur	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	A1Move	A2Move	S1Move	S2Move	S3Move	S4Move	Cmove	Align	IsMelee	IsSel	IsSel2	NeverSel	CorpseSel	IsAtt	IsNPC	IsCritter	InTown	Bleed	Shadow	Light	NoUniqueShift	CompositeDeath	Skill1	Skill1Seq	Skill1Lvl	Skill2	Skill2Seq	Skill2Lvl	Skill3	Skill3Seq	Skill3Lvl	Skill4	Skill4Seq	Skill4Lvl	Skill5	Skill5Seq	Skill5Lvl	LightR	LightG	LightB	DamageResist	MagicResist	FireResist	LightResist	ColdResist	PoisonResist	DamageResist(N)	MagicResist(N)	FireResist(N)	LightResist(N)	ColdResist(N)	PoisonResist(N)	DamageResist(H)	MagicResist(H)	FireResist(H)	LightResist(H)	ColdResist(H)	PoisonResist(H)	DamageRegen	eLUndead	eHUndead	eDemon	eMagicUsing	eLarge	eSmall	eFlying	eOpenDoors	eSpawnCol	eBoss	PixHeight	Interact	MinHP	MaxHP	AC	Exp	ToBlock	A1MinD	A1MaxD	A1ToHit	A2MinD	A2MaxD	A2ToHit	S1MinD	S1MaxD	S1ToHit	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1ToHit(N)	A2MinD(N)	A2MaxD(N)	A2ToHit(N)	S1MinD(N)	S1MaxD(N)	S1ToHit(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1ToHit(H)	A2MinD(H)	A2MaxD(H)	A2ToHit(H)	S1MinD(H)	S1MaxD(H)	S1ToHit(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	SpawnPctBonus	Soft	Heart	BodyPart	Killable	Switch	Restore	NeverCount	HitClass	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	DeadCollision	UnflatDead	BloodLocal	DeathDamage	PetIgnore	NoGfxHitTest	HitTestTop	HitTestLeft	HitTestWidth	HitTestHeight
Skeleton	Skeleton	Skeleton		1	1	1	SK	0	0	2	2	3	2	3	3	1	2	27	52	0	1	3	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	9	0	1hs	60		75		15		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	0	0	75	2	1	0	0	0	0	0	0	1	0	0	80	0	6	9	10	34	10	1	3	5	1	3	5	0	0	0	102	141	147	454	11	25	88	8	25	88	0	0	0	321	445	305	2442	25	57	241	18	57	241	0	0	0	1	70	90	0	1	70	93	75	1	70	93	75	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Returned	Returned	Skeleton		1	1	1	SK	0	0	2	2	3	2	4	4	1	6	31	56	0	2	3	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	9	0	1hs	70		80		12		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	0	0	75	2	1	0	0	0	0	0	0	1	0	0	80	0	13	19	30	68	15	2	5	12	2	5	12	0	0	0	116	162	169	595	13	29	101	9	29	101	0	0	0	345	479	328	3083	27	61	260	20	61	260	0	0	0	1	71	90	0	1	71	93	76	1	71	93	76	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BoneWarrior	BoneWarrior	Skeleton		1	1	1	SK	0	0	2	2	3	2	4	4	1	7	32	57	0	2	4	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	9	0	1hs	80		85		9		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	40	50	0	0	0	0	60	75	0	0	0	0	80	75	2	1	0	0	0	0	0	0	1	0	0	80	0	15	21	35	76	20	2	6	14	2	6	14	0	0	0	120	167	174	637	13	30	105	10	30	105	0	0	0	352	488	334	3268	27	62	265	20	62	265	0	0	0	1	71	90	0	1	71	93	76	1	71	93	76	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BurningDead	BurningDead	Skeleton		1	1	0	SK	0	0	2	2	3	2	5	5	1	13	38	63	0	2	4	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	9	0	1hs	90		88		7		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	4	1	35	50	2	5	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	50	0	0	50	0	0	75	0	0	75	0	0	100	0	0	75	2	1	0	0	0	0	0	0	1	0	0	80	0	26	37	65	130	25	4	9	25	3	9	25	0	0	0	142	197	207	956	16	35	124	11	35	124	0	0	0	388	539	369	4635	30	68	292	22	68	292	0	0	0	1	73	91	0	1	73	93	77	1	73	93	77	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Horror	Horror	Skeleton		1	1	0	SK	0	0	2	2	3	2	5	5	1	14	39	64	0	2	4	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	9	0	1hs	99		90		5		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	5	2	1	60	3	6	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	20	0	60	0	50	0	40	0	80	0	75	0	70	0	100	0	75	2	1	0	0	0	0	0	0	1	0	0	80	0	28	39	70	143	30	4	10	27	3	10	27	0	0	0	146	202	212	1023	16	36	127	12	36	127	0	0	0	394	547	375	4914	31	69	297	22	69	297	0	0	0	1	73	91	0	1	73	93	77	1	73	93	77	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zombie	Zombie	Zombie		2	1	1	ZM	0	0	2	2	3	2	1	3	1	1	26	51	0	1	2	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	10		70		70		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	0	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	5	9	5	33	3	1	3	3	2	3	3	0	0	0	112	202	142	547	12	32	85	24	38	85	0	0	0	360	649	299	2969	28	73	237	55	86	237	0	0	0	1	70	90	0	1	70	93	75	1	70	93	75	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
HungryDead	HungryDead	Zombie		2	1	1	ZM	0	0	2	2	3	2	1	4	1	2	27	52	0	1	3	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	15		60		65		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	0	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	7	13	10	44	4	1	3	5	3	4	5	0	0	0	116	210	147	585	13	33	88	25	39	88	0	0	0	367	662	305	3147	28	75	241	57	88	241	0	0	0	1	70	90	0	1	70	93	75	1	70	93	75	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Ghoul	Ghoul	Zombie		2	1	1	ZM	0	0	2	2	3	2	1	4	1	12	37	62	0	2	3	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	20		50		60		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	0	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	28	51	60	152	13	4	11	23	9	13	23	0	0	0	158	285	201	1151	17	45	121	34	53	121	0	0	0	437	788	363	5636	34	89	288	67	105	288	0	0	0	1	72	90	0	1	72	93	76	1	72	93	76	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DrownedCarcass	DrownedCarcass	Zombie		2	1	0	ZM	0	0	2	2	3	2	1	5	1	22	47	72	0	2	4	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	30		30		50		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	4	4	0	75	3	6	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	20	0	50	0	0	50	50	0	75	0	0	75	50	0	100	0	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	49	88	111	395	22	7	19	42	15	23	42	0	0	0	200	361	256	2265	22	57	153	43	67	153	0	0	0	507	914	422	10094	39	103	334	78	121	334	0	0	0	1	76	92	0	1	76	93	78	1	76	93	78	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PlagueBearer	PlagueBearer	Zombie		2	1	0	ZM	0	0	2	2	3	2	1	5	1	17	42	67	0	3	4	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	25		40		55		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	4	5	0	50	3	6	400	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	50	0	0	0	50	0	75	0	0	0	75	0	100	0	0	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	39	69	85	245	17	6	15	32	11	18	32	0	0	0	179	323	229	1615	19	51	137	39	60	137	0	0	0	472	851	393	7543	36	96	311	72	113	311	0	0	0	1	74	91	0	1	74	93	77	1	74	93	77	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
