skill	Id	charclass	ClassReq	AttackRank	itemclass1	itemclass2	itemclass3	itemclass4	itemclass5	itemclass6	anim	monanim	seqnum	Durability	Shiver	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchMonsterNear	SelectDead	SearchOpenXY	TargetPet	TargetAlly	range	AttackNoMana	reqlevel	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	State1	State2	State3	SkillPage	SkillRow	SkillColumn	IconCel	leftskl	manashift	mana	lvlmana	Interrupt	InTown	Periodic	Passive	Param1	Param1 Description	Param2	Param2 Description	Param3	Param3 Description	Param4	Param4 Description	Param5	Param5 Description	Param6	Param6 Description	effect	leveleffect	InGame	Done	Open	Beta	What's left? - code	What's Left - art	ToHit	LevToHit	HitShift	SrcDam	MinDam	MaxDam	LevDam	EType	EMin	EMax	ELev	ELen	ELevLen
Attack	0	all	0	0	xxx	xxx	xxx	xxx	xxx	xxx	attack	seq	0	0	1	1	0	1	1	0	0	0	0	0	both	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	Normal attacking	na	1	1	1	1	nothing	?	0	0	8	2	0	0	0	0	0	0	0	0	0
Kick	1	all	0	0	xxx	xxx	xxx	xxx	xxx	xxx	kick	seq	0	0	1	0	0	1	1	0	0	0	0	0	h2h	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	"hit knocks monster back 1 square, does 1 damage"	na	1	1	1	1	nothing	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Throw	2	all	0	0	1js	1ss	1jt	1st	1ht	1hs	throw	seq	0	0	1	1	0	0	0	0	0	0	0	0	range	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	throw a weapon	na	1	1	1	1	Done?	?	0	0	8	2	0	0	0	0	0	0	0	0	0
Unsummon	3	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	1	0	0	0	0	1	0	range	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	1	1	0	0	0	?	0	?	0	?	0	?	0	?	0	?	releases a summoned creature from your control	na	1	0	1	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Left Hand Throw	4	barbarian	0	0	1js	1ss	1jt	1st	xxx	xxx	sk4	seq	0	1	1	1	0	0	0	0	0	0	0	0	range	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	8	0	0	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	throw a weapon with left hand (otherwise identical)	na	1	0	1	1	stuff	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Left Hand Swing	5	barbarian	0	0	1js	1ss	1jt	1st	xxx	xxx	sk3	seq	0	1	1	1	0	1	1	0	0	0	0	0	both	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	0	0	1	0	0	0	66	percent damage	0	?	0	?	0	?	0	?	0	?	"swing with left hand, 75% speed (faster), 66% damage"	na	1	0	1	1	stuff	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Magic Arrow	6	amazon	0	0	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	1	1	0	0	0	0	0	0	0	0	range	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	5	12	-1	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	Creates an arrow from mana	+1 damage	1	1	0	1	*Check	?	0	0	7	2	0	0	2	0	0	0	0	0	0
Fire Arrow	7	amazon	0	0	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	1	1	0	0	0	0	0	0	0	0	range	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	2	0	6	12	1	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	+2-5 fire damage	+2 fire damage	1	1	0	1	*Check	?	0	0	8	2	0	0	0	1	1	4	2	0	0
Inner Sight	8	amazon	0	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	4	1	7	10	0	1	0	0	0	40	min% monster ac	80	max% monster ac	200	duration	100	duration per level	20	radius of effect	0	radius per level	all monsters in radius get small light source. And highlit monsters have -20 AC/level	extar duration and more AC loss	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Critical Strike	9	amazon	0	4	1ht	2ht	bow	xbw	xxx	xxx	none	seq	0	0	0	1	0	0	0	0	0	0	0	0	range	0	1	0	0	0	0	0	0	0	0	0	0	2	1	3	6	1	8	0	0	1	0	0	1	5	min % to do double damage	80	max % to do double damage	0	?	0	?	0	?	0	?	Passive 10% chance to do double damage on a hit	more of a chance	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Jab	10	amazon	1	3	1ht	2ht	xxx	xxx	xxx	xxx	seq	seq	1	1	1	1	0	1	1	0	0	0	0	0	h2h	1	1	0	0	0	0	0	0	0	0	0	0	3	1	1	8	0	6	8	1	1	0	0	0	0	?	0	?	-15	Percent damage base	3	Percent damage per level	0	?	0	?	"does 4 hits, each at 66% regular damage"	more damage as per dave	1	1	0	1	*Check	?	10	5	8	0	0	0	0	0	0	0	0	0	0
Cold Arrow	11	amazon	0	4	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	1	1	0	0	0	0	0	0	0	0	range	0	6	0	0	0	0	0	0	0	0	0	0	1	2	1	10	0	6	12	1	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	?	extra 5 frames slow and +1 cold dam	1	1	0	1	*Check	new blue shift	0	0	8	1	0	0	0	4	3	3	2	100	30
Multiple Shot	12	amazon	0	7	bow	xbw	xxx	xxx	xxx	xxx	attack	seq	0	0	1	1	0	0	0	0	0	0	0	0	range	0	6	0	0	0	0	Magic Arrow	0	0	0	0	0	1	2	2	12	0	7	8	2	1	0	0	0	2	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.	0	?	0	?	0	?	Fires a spread of arrows towards the target.	extra arrows/level	1	1	0	1	*Check	?	0	0	8	2	0	0	0	0	0	0	0	0	0
Dodge	13	amazon	1	0	xxx	xxx	xxx	xxx	xxx	xxx	sk1	seq	0	0	0	0	0	0	0	0	0	0	0	0	h2h	0	6	0	0	0	0	0	0	0	0	0	0	2	2	2	14	1	8	0	0	1	0	0	1	10	min % dodge	65	max % dodge	0	?	0	?	0	?	0	?	PASSIVE chance that amazon jumps aside and takes no HTH dam. Only if not moving	more of a chance	1	1	0	1	*Check	New animation	0	0	8	0	0	0	0	0	0	0	0	0	0
Power Strike	14	amazon	0	4	1ht	2ht	xxx	xxx	xxx	xxx	attack	seq	0	0	1	1	0	1	1	0	0	0	0	0	h2h	1	6	0	0	0	0	Jab	0	0	0	0	0	3	2	2	16	0	6	8	1	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	does 1-8 lightning damage	+4 lightning damage	1	1	0	1	*Check	?	10	5	8	2	0	0	0	2	1	8	3	0	0
